date,price,quantity
Feb 17 2024 20: +0,5.49,4311
Feb 17 2024 21: +0,5.479,4308
Feb 17 2024 22: +0,5.539,4382
Feb 17 2024 23: +0,5.683,3904
Feb 18 2024 00: +0,5.83,3765
Feb 18 2024 01: +0,5.877,2988
Feb 18 2024 02: +0,5.89,2684
Feb 18 2024 03: +0,5.92,3134
Feb 18 2024 04: +0,5.95,3024
Feb 18 2024 05: +0,6,2781
Feb 18 2024 06: +0,5.95,2265
Feb 18 2024 07: +0,5.94,2507
Feb 18 2024 08: +0,5.667,2267
Feb 18 2024 09: +0,5.669,2291
Feb 18 2024 10: +0,5.648,1838
Feb 18 2024 11: +0,5.576,1975
Feb 18 2024 12: +0,5.388,2287
Feb 18 2024 13: +0,5.479,2415
Feb 18 2024 14: +0,5.114,3348
Feb 18 2024 15: +0,5.101,3559
Feb 18 2024 16: +0,5.348,3248
Feb 18 2024 17: +0,5.36,3104
Feb 18 2024 18: +0,5.36,3414
Feb 18 2024 19: +0,5.366,3307
Feb 18 2024 20: +0,5.37,3468
Feb 18 2024 21: +0,5.4,3627
Feb 18 2024 22: +0,5.49,3328
Feb 18 2024 23: +0,5.552,3058
Feb 19 2024 00: +0,5.63,2871
Feb 19 2024 01: +0,5.68,2629
Feb 19 2024 02: +0,5.72,2399
Feb 19 2024 03: +0,5.7,2424
Feb 19 2024 04: +0,5.66,2678
Feb 19 2024 05: +0,5.65,2814
Feb 19 2024 06: +0,5.65,2241
Feb 19 2024 07: +0,5.622,2067
Feb 19 2024 08: +0,5.6,1619
Feb 19 2024 09: +0,5.44,1744
Feb 19 2024 10: +0,5.42,1347
Feb 19 2024 11: +0,5.393,1294
Feb 19 2024 12: +0,5.318,1531
Feb 19 2024 13: +0,5.367,1975
Feb 19 2024 14: +0,5.303,2000
Feb 19 2024 15: +0,5.33,2160
Feb 19 2024 16: +0,5.369,2323
Feb 19 2024 17: +0,5.423,2743
Feb 19 2024 18: +0,5.46,3030
Feb 19 2024 19: +0,5.447,3079
Feb 19 2024 20: +0,5.361,3090
Feb 19 2024 21: +0,5.237,3142
Feb 19 2024 22: +0,5.254,3069
Feb 19 2024 23: +0,5.487,2843
Feb 20 2024 00: +0,5.55,2485
Feb 20 2024 01: +0,5.57,2163
Feb 20 2024 02: +0,5.589,2194
Feb 20 2024 03: +0,5.59,2351
Feb 20 2024 04: +0,5.6,2370
Feb 20 2024 05: +0,5.63,2190
Feb 20 2024 06: +0,5.6,1684
Feb 20 2024 07: +0,5.55,1495
Feb 20 2024 08: +0,5.52,1469
Feb 20 2024 09: +0,5.501,1315
Feb 20 2024 10: +0,5.529,1525
Feb 20 2024 11: +0,5.388,1227
Feb 20 2024 12: +0,5.322,1491
Feb 20 2024 13: +0,5.397,1837
Feb 20 2024 14: +0,5.226,1990
Feb 20 2024 15: +0,5.225,2493
Feb 20 2024 16: +0,5.234,2298
Feb 20 2024 17: +0,5.222,2830
Feb 20 2024 18: +0,5.243,2681
Feb 20 2024 19: +0,5.21,2865
Feb 20 2024 20: +0,5.23,3138
Feb 20 2024 21: +0,5.196,3134
Feb 20 2024 22: +0,5.2,2781
Feb 20 2024 23: +0,5.159,2518
Feb 21 2024 00: +0,5.22,2404
Feb 21 2024 01: +0,5.26,2376
Feb 21 2024 02: +0,5.38,2502
Feb 21 2024 03: +0,4.83,3355
Feb 21 2024 04: +0,4.55,3876
Feb 21 2024 05: +0,4.44,3775
Feb 21 2024 06: +0,4.3,3906
Feb 21 2024 07: +0,4.28,3055
Feb 21 2024 08: +0,3.832,3917
Feb 21 2024 09: +0,3.71,4645
Feb 21 2024 10: +0,3.54,4990
Feb 21 2024 11: +0,3.464,5724
Feb 21 2024 12: +0,3.543,5318
Feb 21 2024 13: +0,3.64,6723
Feb 21 2024 14: +0,3.703,6944
Feb 21 2024 15: +0,3.71,7802
