date,price,quantity
Nov 30 2023 01: +0,0.657,72811
Dec 01 2023 01: +0,0.695,68824
Dec 02 2023 01: +0,0.727,73293
Dec 03 2023 01: +0,0.741,59424
Dec 04 2023 01: +0,0.768,49271
Dec 05 2023 01: +0,0.821,54737
Dec 06 2023 01: +0,0.778,87581
Dec 07 2023 01: +0,0.739,76629
Dec 08 2023 01: +0,0.744,70669
Dec 09 2023 01: +0,0.747,65589
Dec 10 2023 01: +0,0.749,59521
Dec 11 2023 01: +0,0.748,45336
Dec 12 2023 01: +0,0.752,41854
Dec 13 2023 01: +0,0.699,83685
Dec 14 2023 01: +0,0.699,77199
Dec 15 2023 01: +0,0.702,71758
Dec 16 2023 01: +0,0.71,69900
Dec 17 2023 01: +0,0.702,60588
Dec 18 2023 01: +0,0.712,46036
Dec 19 2023 01: +0,0.709,44737
Dec 20 2023 01: +0,0.671,91415
Dec 21 2023 01: +0,0.654,77781
Dec 22 2023 01: +0,0.645,81831
Dec 23 2023 01: +0,0.648,76102
Dec 24 2023 01: +0,0.645,67970
Dec 25 2023 01: +0,0.648,67004
Dec 26 2023 01: +0,0.647,61965
Dec 27 2023 01: +0,0.587,92687
Dec 28 2023 01: +0,0.553,79928
Dec 29 2023 01: +0,0.556,70459
Dec 30 2023 01: +0,0.565,70364
Dec 31 2023 01: +0,0.594,62134
Jan 01 2024 01: +0,0.598,56196
Jan 02 2024 01: +0,0.577,52527
Jan 03 2024 01: +0,0.526,96176
Jan 04 2024 01: +0,0.501,76078
Jan 05 2024 01: +0,0.535,78554
Jan 06 2024 01: +0,0.537,63217
Jan 07 2024 01: +0,0.535,60055
Jan 08 2024 01: +0,0.539,50660
Jan 09 2024 01: +0,0.533,46647
Jan 10 2024 01: +0,0.499,84844
Jan 11 2024 01: +0,0.479,70597
Jan 12 2024 01: +0,0.496,72345
Jan 13 2024 01: +0,0.498,65446
Jan 14 2024 01: +0,0.492,58319
Jan 15 2024 01: +0,0.489,48535
Jan 16 2024 01: +0,0.486,45506
Jan 17 2024 01: +0,0.437,87043
Jan 18 2024 01: +0,0.407,68727
Jan 19 2024 01: +0,0.418,68746
Jan 20 2024 01: +0,0.399,66301
Jan 21 2024 01: +0,0.382,42673
Jan 21 2024 17: +0,0.371,2943
Jan 21 2024 18: +0,0.38,3517
Jan 21 2024 19: +0,0.37,3031
Jan 21 2024 20: +0,0.37,3403
Jan 21 2024 21: +0,0.38,3383
Jan 21 2024 22: +0,0.374,2447
Jan 21 2024 23: +0,0.38,2257
Jan 22 2024 00: +0,0.385,1897
Jan 22 2024 01: +0,0.382,2167
Jan 22 2024 02: +0,0.39,2011
Jan 22 2024 03: +0,0.39,2140
Jan 22 2024 04: +0,0.39,1978
Jan 22 2024 05: +0,0.39,2049
Jan 22 2024 06: +0,0.39,1627
Jan 22 2024 07: +0,0.388,1505
Jan 22 2024 08: +0,0.37,1397
Jan 22 2024 09: +0,0.368,1637
Jan 22 2024 10: +0,0.362,1615
Jan 22 2024 11: +0,0.36,1601
Jan 22 2024 12: +0,0.362,2750
Jan 22 2024 13: +0,0.358,2360
Jan 22 2024 14: +0,0.357,2139
Jan 22 2024 15: +0,0.359,2326
Jan 22 2024 16: +0,0.347,2575
Jan 22 2024 17: +0,0.344,2367
Jan 22 2024 18: +0,0.34,3013
Jan 22 2024 19: +0,0.347,2601
Jan 22 2024 20: +0,0.367,3750
Jan 22 2024 21: +0,0.369,2725
Jan 22 2024 22: +0,0.37,2629
Jan 22 2024 23: +0,0.37,2104
Jan 23 2024 00: +0,0.37,1763
Jan 23 2024 01: +0,0.38,2197
Jan 23 2024 02: +0,0.38,1835
Jan 23 2024 03: +0,0.38,2133
Jan 23 2024 04: +0,0.38,1868
Jan 23 2024 05: +0,0.38,1940
Jan 23 2024 06: +0,0.37,1657
Jan 23 2024 07: +0,0.362,2024
Jan 23 2024 08: +0,0.373,1592
Jan 23 2024 09: +0,0.36,1200
Jan 23 2024 10: +0,0.35,1455
Jan 23 2024 11: +0,0.346,1382
Jan 23 2024 12: +0,0.34,1876
Jan 23 2024 13: +0,0.339,1705
Jan 23 2024 14: +0,0.334,2039
Jan 23 2024 15: +0,0.348,2685
Jan 23 2024 16: +0,0.337,2318
Jan 23 2024 17: +0,0.337,2480
Jan 23 2024 18: +0,0.34,2983
Jan 23 2024 19: +0,0.337,2711
Jan 23 2024 20: +0,0.34,2900
Jan 23 2024 21: +0,0.337,2640
Jan 23 2024 22: +0,0.347,2665
Jan 23 2024 23: +0,0.35,2306
Jan 24 2024 00: +0,0.359,2526
Jan 24 2024 01: +0,0.35,1171
Jan 24 2024 02: +0,0.36,2087
Jan 24 2024 03: +0,0.35,2297
Jan 24 2024 04: +0,0.34,2123
Jan 24 2024 05: +0,0.34,1768
Jan 24 2024 06: +0,0.345,2403
Jan 24 2024 07: +0,0.34,1969
Jan 24 2024 08: +0,0.326,2005
Jan 24 2024 09: +0,0.326,2295
Jan 24 2024 10: +0,0.32,2633
Jan 24 2024 11: +0,0.32,2988
Jan 24 2024 12: +0,0.315,3481
Jan 24 2024 13: +0,0.315,3462
Jan 24 2024 14: +0,0.304,3714
Jan 24 2024 15: +0,0.3,4052
Jan 24 2024 16: +0,0.304,4940
Jan 24 2024 17: +0,0.3,5041
Jan 24 2024 18: +0,0.3,5234
Jan 24 2024 19: +0,0.297,5471
Jan 24 2024 20: +0,0.299,5102
Jan 24 2024 21: +0,0.3,4812
Jan 24 2024 22: +0,0.29,3900
Jan 24 2024 23: +0,0.295,3273
Jan 25 2024 00: +0,0.295,2631
Jan 25 2024 01: +0,0.297,2434
Jan 25 2024 02: +0,0.3,1994
Jan 25 2024 03: +0,0.31,2464
Jan 25 2024 04: +0,0.32,2344
Jan 25 2024 05: +0,0.317,1875
Jan 25 2024 06: +0,0.32,2746
Jan 25 2024 07: +0,0.31,1298
Jan 25 2024 08: +0,0.306,1386
Jan 25 2024 09: +0,0.31,1988
Jan 25 2024 10: +0,0.3,2369
Jan 25 2024 11: +0,0.295,2082
Jan 25 2024 12: +0,0.303,2449
Jan 25 2024 13: +0,0.295,2584
Jan 25 2024 14: +0,0.295,2749
Jan 25 2024 15: +0,0.29,3365
Jan 25 2024 16: +0,0.282,3105
Jan 25 2024 17: +0,0.289,3678
Jan 25 2024 18: +0,0.286,3693
Jan 25 2024 19: +0,0.293,4155
Jan 25 2024 20: +0,0.295,4915
Jan 25 2024 21: +0,0.284,3960
Jan 25 2024 22: +0,0.29,3418
Jan 25 2024 23: +0,0.29,2900
Jan 26 2024 00: +0,0.303,2701
Jan 26 2024 01: +0,0.31,2613
Jan 26 2024 02: +0,0.31,2760
Jan 26 2024 03: +0,0.32,2337
Jan 26 2024 04: +0,0.32,2413
Jan 26 2024 05: +0,0.32,2593
Jan 26 2024 06: +0,0.32,2432
Jan 26 2024 07: +0,0.32,2025
Jan 26 2024 08: +0,0.315,1976
Jan 26 2024 09: +0,0.31,1563
Jan 26 2024 10: +0,0.309,1872
Jan 26 2024 11: +0,0.304,2558
Jan 26 2024 12: +0,0.304,2318
Jan 26 2024 13: +0,0.304,2410
Jan 26 2024 14: +0,0.3,2808
Jan 26 2024 15: +0,0.296,3192
Jan 26 2024 16: +0,0.293,2813
Jan 26 2024 17: +0,0.293,3490
Jan 26 2024 18: +0,0.299,3665
Jan 26 2024 19: +0,0.304,3944
Jan 26 2024 20: +0,0.3,3916
Jan 26 2024 21: +0,0.304,4469
Jan 26 2024 22: +0,0.306,3732
Jan 26 2024 23: +0,0.304,2751
Jan 27 2024 00: +0,0.31,2855
Jan 27 2024 01: +0,0.315,2311
Jan 27 2024 02: +0,0.32,2384
Jan 27 2024 03: +0,0.32,3030
Jan 27 2024 04: +0,0.32,2013
Jan 27 2024 05: +0,0.331,2880
Jan 27 2024 06: +0,0.34,3636
Jan 27 2024 07: +0,0.34,2385
Jan 27 2024 08: +0,0.333,1869
Jan 27 2024 09: +0,0.321,1895
Jan 27 2024 10: +0,0.31,2270
Jan 27 2024 11: +0,0.31,2717
Jan 27 2024 12: +0,0.3,2232
Jan 27 2024 13: +0,0.31,2988
Jan 27 2024 14: +0,0.312,3355
Jan 27 2024 15: +0,0.301,3267
