date,price,quantity
May 27 2023 01: +0,0.799,98308
May 28 2023 01: +0,0.795,93332
May 29 2023 01: +0,0.793,86060
May 30 2023 01: +0,0.783,80315
May 31 2023 01: +0,0.798,88668
Jun 01 2023 01: +0,0.819,87051
Jun 02 2023 01: +0,0.825,88436
Jun 03 2023 01: +0,0.828,92322
Jun 04 2023 01: +0,0.823,89276
Jun 05 2023 01: +0,0.813,82892
Jun 06 2023 01: +0,0.808,83438
Jun 07 2023 01: +0,0.801,83430
Jun 08 2023 01: +0,0.799,87782
Jun 09 2023 01: +0,0.814,85795
Jun 10 2023 01: +0,0.949,139472
Jun 11 2023 01: +0,0.941,70931
Jun 12 2023 01: +0,0.936,61309
Jun 13 2023 01: +0,0.973,59232
Jun 14 2023 01: +0,0.907,102465
Jun 15 2023 01: +0,0.881,87639
Jun 16 2023 01: +0,0.884,77343
Jun 17 2023 01: +0,0.904,74359
Jun 18 2023 01: +0,0.905,66392
Jun 19 2023 01: +0,0.897,56785
Jun 20 2023 01: +0,0.892,50548
Jun 21 2023 01: +0,0.829,97204
Jun 22 2023 01: +0,0.798,84564
Jun 23 2023 01: +0,0.763,93202
Jun 24 2023 01: +0,0.763,76014
Jun 25 2023 01: +0,0.775,65007
Jun 26 2023 01: +0,0.767,60556
Jun 27 2023 01: +0,0.755,57535
Jun 28 2023 01: +0,0.724,103507
Jun 29 2023 01: +0,0.654,90728
Jun 30 2023 01: +0,0.599,85463
Jul 01 2023 01: +0,0.604,78805
Jul 02 2023 01: +0,0.607,75150
Jul 03 2023 01: +0,0.639,68156
Jul 04 2023 01: +0,0.665,64731
Jul 05 2023 01: +0,0.636,102816
Jul 06 2023 01: +0,0.593,79552
Jul 07 2023 01: +0,0.59,76528
Jul 08 2023 01: +0,0.603,74399
Jul 09 2023 01: +0,0.602,67589
Jul 10 2023 01: +0,0.601,60119
Jul 11 2023 01: +0,0.618,58415
Jul 12 2023 01: +0,0.582,93483
Jul 13 2023 01: +0,0.554,80511
Jul 14 2023 01: +0,0.585,69851
Jul 15 2023 01: +0,0.619,72748
Jul 16 2023 01: +0,0.636,68352
Jul 17 2023 01: +0,0.649,58097
Jul 18 2023 01: +0,0.651,57093
Jul 19 2023 01: +0,0.603,95934
Jul 20 2023 01: +0,0.576,77954
Jul 21 2023 01: +0,0.6,69630
Jul 22 2023 01: +0,0.625,69736
Jul 23 2023 01: +0,0.626,67430
Jul 24 2023 01: +0,0.624,56283
Jul 25 2023 01: +0,0.627,57540
Jul 26 2023 01: +0,0.584,98902
Jul 27 2023 01: +0,0.579,80944
Jul 28 2023 01: +0,0.59,76982
Jul 29 2023 01: +0,0.606,79677
Jul 30 2023 01: +0,0.608,67935
Jul 31 2023 01: +0,0.627,65749
Aug 01 2023 01: +0,0.633,62136
Aug 02 2023 01: +0,0.577,100014
Aug 03 2023 01: +0,0.57,83702
Aug 04 2023 01: +0,0.581,71789
Aug 05 2023 01: +0,0.585,70282
Aug 06 2023 01: +0,0.575,66220
Aug 07 2023 01: +0,0.572,59917
Aug 08 2023 01: +0,0.561,58332
Aug 09 2023 01: +0,0.524,100959
Aug 10 2023 01: +0,0.511,79552
Aug 11 2023 01: +0,0.523,73051
Aug 12 2023 01: +0,0.541,70338
Aug 13 2023 01: +0,0.551,65892
Aug 14 2023 01: +0,0.544,56110
Aug 15 2023 01: +0,0.545,56346
Aug 16 2023 01: +0,0.5,94875
Aug 17 2023 01: +0,0.492,78164
Aug 18 2023 01: +0,0.506,72503
Aug 19 2023 01: +0,0.519,72832
Aug 20 2023 01: +0,0.519,68349
Aug 21 2023 01: +0,0.514,57512
Aug 22 2023 01: +0,0.516,57472
Aug 23 2023 01: +0,0.473,95631
Aug 24 2023 01: +0,0.466,78183
Aug 25 2023 01: +0,0.49,80255
Aug 26 2023 01: +0,0.501,74711
Aug 27 2023 01: +0,0.506,67313
Aug 28 2023 01: +0,0.51,61248
Aug 29 2023 01: +0,0.513,59905
Aug 30 2023 01: +0,0.472,101353
Aug 31 2023 01: +0,0.465,86307
Sep 01 2023 01: +0,0.491,85765
Sep 02 2023 01: +0,0.511,94105
Sep 03 2023 01: +0,0.529,81598
Sep 04 2023 01: +0,0.528,72917
Sep 05 2023 01: +0,0.526,62668
Sep 06 2023 01: +0,0.496,110800
Sep 07 2023 01: +0,0.485,97610
Sep 08 2023 01: +0,0.498,88362
Sep 09 2023 01: +0,0.502,82732
Sep 10 2023 01: +0,0.502,80838
Sep 11 2023 01: +0,0.51,66150
Sep 12 2023 01: +0,0.518,62261
Sep 13 2023 01: +0,0.494,111524
Sep 14 2023 01: +0,0.489,93240
Sep 15 2023 01: +0,0.507,90155
Sep 16 2023 01: +0,0.517,90433
Sep 17 2023 01: +0,0.523,80350
Sep 18 2023 01: +0,0.53,66310
Sep 19 2023 01: +0,0.537,59132
Sep 20 2023 01: +0,0.509,103879
Sep 21 2023 01: +0,0.503,83716
Sep 22 2023 01: +0,0.517,79663
Sep 23 2023 01: +0,0.519,80973
Sep 24 2023 01: +0,0.52,71942
Sep 25 2023 01: +0,0.53,61566
Sep 26 2023 01: +0,0.531,56955
Sep 27 2023 01: +0,0.521,143298
Sep 28 2023 01: +0,0.56,190771
Sep 29 2023 01: +0,0.587,158882
Sep 30 2023 01: +0,0.595,148461
Oct 01 2023 01: +0,0.618,128568
Oct 02 2023 01: +0,0.642,105281
Oct 03 2023 01: +0,0.658,98257
Oct 04 2023 01: +0,0.588,143623
Oct 05 2023 01: +0,0.578,120945
Oct 06 2023 01: +0,0.609,117206
Oct 07 2023 01: +0,0.629,123440
Oct 08 2023 01: +0,0.637,108966
Oct 09 2023 01: +0,0.647,90236
Oct 10 2023 01: +0,0.65,86830
Oct 11 2023 01: +0,0.591,138952
Oct 12 2023 01: +0,0.596,117573
Oct 13 2023 01: +0,0.622,110778
Oct 14 2023 01: +0,0.635,119844
Oct 15 2023 01: +0,0.639,105438
Oct 16 2023 01: +0,0.65,81950
Oct 17 2023 01: +0,0.65,73332
Oct 18 2023 01: +0,0.604,127015
Oct 19 2023 01: +0,0.597,102706
Oct 20 2023 01: +0,0.62,102911
Oct 21 2023 01: +0,0.622,107878
Oct 22 2023 01: +0,0.628,92971
Oct 23 2023 01: +0,0.628,71597
Oct 24 2023 01: +0,0.627,67822
Oct 25 2023 01: +0,0.574,124906
Oct 26 2023 01: +0,0.562,101584
Oct 27 2023 01: +0,0.558,95899
Oct 28 2023 01: +0,0.558,94149
Oct 29 2023 01: +0,0.545,81209
Oct 30 2023 01: +0,0.528,69758
Oct 31 2023 01: +0,0.533,66292
Nov 01 2023 01: +0,0.497,118343
Nov 02 2023 01: +0,0.466,94563
Nov 03 2023 01: +0,0.487,89548
Nov 04 2023 01: +0,0.495,87899
Nov 05 2023 01: +0,0.496,76069
Nov 06 2023 01: +0,0.496,61518
Nov 07 2023 01: +0,0.506,59475
Nov 08 2023 01: +0,0.475,105447
Nov 09 2023 01: +0,0.464,87045
Nov 10 2023 01: +0,0.468,81821
Nov 11 2023 01: +0,0.46,83127
Nov 12 2023 01: +0,0.441,68701
Nov 13 2023 01: +0,0.419,58258
Nov 14 2023 01: +0,0.402,58866
Nov 15 2023 01: +0,0.365,110333
Nov 16 2023 01: +0,0.349,83930
Nov 17 2023 01: +0,0.371,71922
Nov 18 2023 01: +0,0.378,75311
Nov 19 2023 01: +0,0.37,69182
Nov 20 2023 01: +0,0.357,53368
Nov 21 2023 01: +0,0.353,56905
Nov 22 2023 01: +0,0.319,117415
Nov 23 2023 01: +0,0.307,91593
Nov 24 2023 01: +0,0.304,77200
Nov 25 2023 01: +0,0.305,80761
Nov 26 2023 01: +0,0.307,70893
Nov 27 2023 01: +0,0.302,54564
Nov 28 2023 01: +0,0.306,56477
Nov 29 2023 01: +0,0.304,86469
Nov 30 2023 01: +0,0.312,72861
Dec 01 2023 01: +0,0.326,79718
Dec 02 2023 01: +0,0.353,80226
Dec 03 2023 01: +0,0.365,63427
Dec 04 2023 01: +0,0.379,56915
Dec 05 2023 01: +0,0.395,54803
Dec 06 2023 01: +0,0.377,103491
Dec 07 2023 01: +0,0.364,80350
Dec 08 2023 01: +0,0.356,73434
Dec 09 2023 01: +0,0.352,69728
Dec 10 2023 01: +0,0.35,60783
Dec 11 2023 01: +0,0.351,47788
Dec 12 2023 01: +0,0.352,42445
Dec 13 2023 01: +0,0.34,91176
Dec 14 2023 01: +0,0.334,76235
Dec 15 2023 01: +0,0.318,67406
Dec 16 2023 01: +0,0.319,71766
Dec 17 2023 01: +0,0.322,66508
Dec 18 2023 01: +0,0.321,49522
Dec 19 2023 01: +0,0.322,48480
Dec 20 2023 01: +0,0.313,93691
Dec 21 2023 01: +0,0.308,81274
