date,price,quantity
Jul 23 2021 01: +0,0.179,61535
Jul 24 2021 01: +0,0.182,60131
Jul 25 2021 01: +0,0.181,61334
Jul 26 2021 01: +0,0.18,58256
Jul 27 2021 01: +0,0.188,40239
Jul 28 2021 01: +0,0.188,65584
Jul 29 2021 01: +0,0.177,67825
Jul 30 2021 01: +0,0.18,70521
Jul 31 2021 01: +0,0.187,65539
Aug 01 2021 01: +0,0.188,64437
Aug 02 2021 01: +0,0.185,66570
Aug 03 2021 01: +0,0.189,63958
Aug 04 2021 01: +0,0.191,61281
Aug 05 2021 01: +0,0.203,61284
Aug 06 2021 01: +0,0.192,68793
Aug 07 2021 01: +0,0.189,66991
Aug 08 2021 01: +0,0.189,64155
Aug 09 2021 01: +0,0.182,62804
Aug 10 2021 01: +0,0.175,60820
Aug 11 2021 01: +0,0.171,59770
Aug 12 2021 01: +0,0.165,58471
Aug 13 2021 01: +0,0.166,64529
Aug 14 2021 01: +0,0.165,63510
Aug 15 2021 01: +0,0.165,60417
Aug 16 2021 01: +0,0.154,60765
Aug 17 2021 01: +0,0.151,58327
Aug 18 2021 01: +0,0.149,60118
Aug 19 2021 01: +0,0.147,60340
Aug 20 2021 01: +0,0.15,65393
Aug 21 2021 01: +0,0.153,64672
Aug 22 2021 01: +0,0.154,67431
Aug 23 2021 01: +0,0.154,62172
Aug 24 2021 01: +0,0.149,64199
Aug 25 2021 01: +0,0.148,63500
Aug 26 2021 01: +0,0.149,63535
Aug 27 2021 01: +0,0.151,68720
Aug 28 2021 01: +0,0.158,65925
Aug 29 2021 01: +0,0.154,59354
Aug 30 2021 01: +0,0.15,63391
Aug 31 2021 01: +0,0.155,63751
Sep 01 2021 01: +0,0.158,58667
Sep 02 2021 01: +0,0.164,59243
Sep 03 2021 01: +0,0.168,67125
Sep 04 2021 01: +0,0.168,71928
Sep 05 2021 01: +0,0.17,68197
Sep 06 2021 01: +0,0.166,58892
Sep 07 2021 01: +0,0.161,57449
Sep 08 2021 01: +0,0.154,54621
Sep 09 2021 01: +0,0.153,58031
Sep 10 2021 01: +0,0.151,71583
Sep 11 2021 01: +0,0.148,76014
Sep 12 2021 01: +0,0.151,76662
Sep 13 2021 01: +0,0.153,65131
Sep 14 2021 01: +0,0.147,58947
Sep 15 2021 01: +0,0.15,58184
Sep 16 2021 01: +0,0.149,66071
Sep 17 2021 01: +0,0.147,75093
Sep 18 2021 01: +0,0.147,75338
Sep 19 2021 01: +0,0.145,67942
Sep 20 2021 01: +0,0.144,60040
Sep 21 2021 01: +0,0.141,58128
Sep 22 2021 01: +0,0.102,94862
Sep 23 2021 01: +0,0.083,70822
Sep 24 2021 01: +0,0.08,64333
Sep 25 2021 01: +0,0.081,69940
Sep 26 2021 01: +0,0.083,61027
Sep 27 2021 01: +0,0.079,50728
Sep 28 2021 01: +0,0.077,56331
Sep 29 2021 01: +0,0.076,57380
Sep 30 2021 01: +0,0.072,53822
Oct 01 2021 01: +0,0.077,56971
Oct 02 2021 01: +0,0.075,64641
Oct 03 2021 01: +0,0.07,62580
Oct 04 2021 01: +0,0.067,51021
Oct 05 2021 01: +0,0.068,55332
Oct 06 2021 01: +0,0.062,55235
Oct 07 2021 01: +0,0.059,50976
Oct 08 2021 01: +0,0.064,56730
Oct 09 2021 01: +0,0.064,57224
Oct 10 2021 01: +0,0.061,51030
Oct 11 2021 01: +0,0.061,49168
Oct 12 2021 01: +0,0.06,48646
Oct 13 2021 01: +0,0.058,51450
Oct 14 2021 01: +0,0.056,51803
Oct 15 2021 01: +0,0.056,53847
Oct 16 2021 01: +0,0.055,61907
Oct 17 2021 01: +0,0.056,52154
Oct 18 2021 01: +0,0.056,47491
Oct 19 2021 01: +0,0.056,49752
Oct 20 2021 01: +0,0.057,49207
Oct 21 2021 01: +0,0.052,44517
Oct 22 2021 01: +0,0.047,71798
Oct 23 2021 01: +0,0.049,64714
Oct 24 2021 01: +0,0.045,51540
Oct 25 2021 01: +0,0.044,54080
Oct 26 2021 01: +0,0.044,50209
Oct 27 2021 01: +0,0.046,54938
Oct 28 2021 01: +0,0.042,56743
Oct 29 2021 01: +0,0.041,70099
Oct 30 2021 01: +0,0.042,64084
Oct 31 2021 01: +0,0.041,65059
Nov 01 2021 01: +0,0.042,55611
Nov 02 2021 01: +0,0.041,54945
Nov 03 2021 01: +0,0.039,61808
Nov 04 2021 01: +0,0.042,60206
Nov 05 2021 01: +0,0.042,52296
Nov 06 2021 01: +0,0.039,59582
Nov 07 2021 01: +0,0.041,62748
Nov 08 2021 01: +0,0.041,62062
Nov 09 2021 01: +0,0.039,61349
Nov 10 2021 01: +0,0.037,68016
Nov 11 2021 01: +0,0.038,61171
Nov 12 2021 01: +0,0.037,57008
Nov 13 2021 01: +0,0.037,60456
Nov 14 2021 01: +0,0.039,57850
Nov 15 2021 01: +0,0.038,49660
Nov 16 2021 01: +0,0.037,49789
Nov 17 2021 01: +0,0.039,54151
Nov 18 2021 01: +0,0.038,51406
Nov 19 2021 01: +0,0.036,55763
Nov 20 2021 01: +0,0.035,62313
Nov 21 2021 01: +0,0.038,58245
Nov 22 2021 01: +0,0.039,52910
Nov 23 2021 01: +0,0.039,51672
Nov 24 2021 01: +0,0.037,58103
Nov 25 2021 01: +0,0.039,64855
Nov 26 2021 01: +0,0.04,68572
Nov 27 2021 01: +0,0.039,65801
Nov 28 2021 01: +0,0.041,66775
Nov 29 2021 01: +0,0.042,62163
Nov 30 2021 01: +0,0.037,82938
Dec 01 2021 01: +0,0.038,71645
Dec 02 2021 01: +0,0.039,60145
Dec 03 2021 01: +0,0.043,74514
Dec 04 2021 01: +0,0.042,74131
Dec 05 2021 01: +0,0.042,76487
Dec 06 2021 01: +0,0.043,56114
Dec 07 2021 01: +0,0.042,56049
Dec 08 2021 01: +0,0.041,57253
Dec 09 2021 01: +0,0.043,52895
Dec 10 2021 01: +0,0.046,61937
Dec 11 2021 01: +0,0.045,69576
Dec 12 2021 01: +0,0.045,64816
Dec 13 2021 01: +0,0.045,53830
Dec 14 2021 01: +0,0.046,52371
Dec 15 2021 01: +0,0.042,57352
Dec 16 2021 01: +0,0.042,55462
Dec 17 2021 01: +0,0.043,55724
Dec 18 2021 01: +0,0.042,58106
Dec 19 2021 01: +0,0.041,59545
Dec 20 2021 01: +0,0.042,58522
Dec 21 2021 01: +0,0.044,58330
Dec 22 2021 01: +0,0.041,56338
Dec 23 2021 01: +0,0.039,59798
Dec 24 2021 01: +0,0.044,73617
Dec 25 2021 01: +0,0.048,70761
Dec 26 2021 01: +0,0.044,73154
Dec 27 2021 01: +0,0.044,70385
Dec 28 2021 01: +0,0.043,68281
Dec 29 2021 01: +0,0.043,77361
Dec 30 2021 01: +0,0.043,79483
Dec 31 2021 01: +0,0.047,73665
Jan 01 2022 01: +0,0.049,74582
Jan 02 2022 01: +0,0.045,68762
Jan 03 2022 01: +0,0.046,67573
Jan 04 2022 01: +0,0.043,61941
Jan 05 2022 01: +0,0.043,70666
Jan 06 2022 01: +0,0.047,103711
Jan 07 2022 01: +0,0.047,69293
Jan 08 2022 01: +0,0.056,78577
Jan 09 2022 01: +0,0.055,66579
Jan 10 2022 01: +0,0.057,65346
Jan 11 2022 01: +0,0.052,56496
Jan 12 2022 01: +0,0.054,63296
Jan 13 2022 01: +0,0.053,59421
Jan 14 2022 01: +0,0.054,81393
Jan 15 2022 01: +0,0.05,78484
Jan 16 2022 01: +0,0.05,74098
Jan 17 2022 01: +0,0.055,67218
Jan 18 2022 01: +0,0.052,66152
Jan 19 2022 01: +0,0.052,66153
Jan 20 2022 01: +0,0.054,69428
Jan 21 2022 01: +0,0.055,97215
Jan 22 2022 01: +0,0.055,100912
Jan 23 2022 01: +0,0.056,94113
Jan 24 2022 01: +0,0.054,73589
Jan 25 2022 01: +0,0.054,78472
Jan 26 2022 01: +0,0.056,79628
Jan 27 2022 01: +0,0.054,80880
Jan 28 2022 01: +0,0.052,98794
Jan 29 2022 01: +0,0.056,99523
Jan 30 2022 01: +0,0.056,95761
Jan 31 2022 01: +0,0.055,91294
Feb 01 2022 01: +0,0.056,87726
Feb 02 2022 01: +0,0.056,91801
Feb 03 2022 01: +0,0.053,85601
Feb 04 2022 01: +0,0.058,85050
Feb 05 2022 01: +0,0.058,88312
Feb 06 2022 01: +0,0.061,86069
Feb 07 2022 01: +0,0.057,72564
Feb 08 2022 01: +0,0.054,71990
Feb 09 2022 01: +0,0.054,72254
Feb 10 2022 01: +0,0.055,73018
Feb 11 2022 01: +0,0.054,82762
Feb 12 2022 01: +0,0.054,90032
Feb 13 2022 01: +0,0.052,78000
Feb 14 2022 01: +0,0.052,67541
Feb 15 2022 01: +0,0.053,65538
Feb 16 2022 01: +0,0.051,65375
Feb 17 2022 01: +0,0.053,66504
Feb 18 2022 01: +0,0.056,79059
Feb 19 2022 01: +0,0.054,82882
Feb 20 2022 01: +0,0.056,76528
Feb 21 2022 01: +0,0.052,65167
Feb 22 2022 01: +0,0.051,66611
Feb 23 2022 01: +0,0.052,69372
Feb 24 2022 01: +0,0.053,70085
Feb 25 2022 01: +0,0.056,71011
Feb 26 2022 01: +0,0.055,80501
Feb 27 2022 01: +0,0.053,77286
Feb 28 2022 01: +0,0.055,100144
Mar 01 2022 01: +0,0.054,133673
Mar 02 2022 01: +0,0.059,94435
Mar 03 2022 01: +0,0.055,86865
Mar 04 2022 01: +0,0.059,96075
Mar 05 2022 01: +0,0.063,98882
Mar 06 2022 01: +0,0.06,94494
Mar 07 2022 01: +0,0.059,90310
Mar 08 2022 01: +0,0.056,109629
Mar 09 2022 01: +0,0.06,85601
Mar 10 2022 01: +0,0.062,86561
Mar 11 2022 01: +0,0.064,74759
Mar 12 2022 01: +0,0.062,82391
Mar 13 2022 01: +0,0.06,83488
Mar 14 2022 01: +0,0.063,74308
Mar 15 2022 01: +0,0.062,75603
Mar 16 2022 01: +0,0.064,78604
Mar 17 2022 01: +0,0.064,80697
Mar 18 2022 01: +0,0.071,86525
Mar 19 2022 01: +0,0.068,96723
Mar 20 2022 01: +0,0.067,96269
Mar 21 2022 01: +0,0.076,94235
Mar 22 2022 01: +0,0.083,142142
Mar 23 2022 01: +0,0.102,153902
Mar 24 2022 01: +0,0.105,93197
Mar 25 2022 01: +0,0.095,85277
Mar 26 2022 01: +0,0.092,86536
Mar 27 2022 01: +0,0.089,89418
Mar 28 2022 01: +0,0.085,74149
Mar 29 2022 01: +0,0.083,79959
Mar 30 2022 01: +0,0.083,73530
Mar 31 2022 01: +0,0.092,78888
Apr 01 2022 01: +0,0.098,79953
Apr 02 2022 01: +0,0.098,91974
Apr 03 2022 01: +0,0.094,95696
Apr 04 2022 01: +0,0.095,74015
Apr 05 2022 01: +0,0.096,84883
Apr 06 2022 01: +0,0.107,85604
Apr 07 2022 01: +0,0.111,87510
Apr 08 2022 01: +0,0.119,93590
