date,price,quantity
Nov 14 2022 01: +0,0.659,61759
Nov 15 2022 01: +0,0.64,59601
Nov 16 2022 01: +0,0.637,61041
Nov 17 2022 01: +0,0.626,58899
Nov 18 2022 01: +0,0.622,68381
Nov 19 2022 01: +0,0.582,74595
Nov 20 2022 01: +0,0.526,65848
Nov 21 2022 01: +0,0.496,58035
Nov 22 2022 01: +0,0.496,61298
Nov 23 2022 01: +0,0.515,70068
Nov 24 2022 01: +0,0.519,61911
Nov 25 2022 01: +0,0.521,66743
Nov 26 2022 01: +0,0.506,73719
Nov 27 2022 01: +0,0.494,67878
Nov 28 2022 01: +0,0.463,63484
Nov 29 2022 01: +0,0.456,59834
Nov 30 2022 01: +0,0.472,57664
Dec 01 2022 01: +0,0.481,58290
Dec 02 2022 01: +0,0.514,63324
Dec 03 2022 01: +0,0.52,73167
Dec 04 2022 01: +0,0.505,64854
Dec 05 2022 01: +0,0.488,53853
Dec 06 2022 01: +0,0.469,54159
Dec 07 2022 01: +0,0.47,57505
Dec 08 2022 01: +0,0.472,58252
Dec 09 2022 01: +0,0.479,58462
Dec 10 2022 01: +0,0.48,66292
Dec 11 2022 01: +0,0.468,67502
Dec 12 2022 01: +0,0.468,57853
Dec 13 2022 01: +0,0.456,55670
Dec 14 2022 01: +0,0.449,62774
Dec 15 2022 01: +0,0.453,60859
Dec 16 2022 01: +0,0.449,63075
Dec 17 2022 01: +0,0.442,69089
Dec 18 2022 01: +0,0.428,61785
Dec 19 2022 01: +0,0.42,61774
Dec 20 2022 01: +0,0.41,60726
Dec 21 2022 01: +0,0.414,60943
Dec 22 2022 01: +0,0.42,73998
Dec 23 2022 01: +0,0.437,92591
Dec 24 2022 01: +0,0.474,87040
Dec 25 2022 01: +0,0.469,74994
Dec 26 2022 01: +0,0.461,74799
Dec 27 2022 01: +0,0.458,76500
Dec 28 2022 01: +0,0.466,75997
Dec 29 2022 01: +0,0.483,75502
Dec 30 2022 01: +0,0.501,82714
Dec 31 2022 01: +0,0.542,80439
Jan 01 2023 01: +0,0.573,81971
Jan 02 2023 01: +0,0.544,76810
Jan 03 2023 01: +0,0.539,74589
Jan 04 2023 01: +0,0.54,74201
Jan 05 2023 01: +0,0.548,83594
Jan 06 2023 01: +0,0.564,73448
Jan 07 2023 01: +0,0.569,75822
Jan 08 2023 01: +0,0.563,75512
Jan 09 2023 01: +0,0.564,67750
Jan 10 2023 01: +0,0.565,67713
Jan 11 2023 01: +0,0.578,68651
Jan 12 2023 01: +0,0.572,66628
Jan 13 2023 01: +0,0.597,78196
Jan 14 2023 01: +0,0.621,84529
Jan 15 2023 01: +0,0.631,78250
Jan 16 2023 01: +0,0.624,63901
Jan 17 2023 01: +0,0.629,67376
Jan 18 2023 01: +0,0.618,67940
Jan 19 2023 01: +0,0.618,66920
Jan 20 2023 01: +0,0.627,72984
Jan 21 2023 01: +0,0.647,88829
Jan 22 2023 01: +0,0.654,82687
Jan 23 2023 01: +0,0.641,65627
Jan 24 2023 01: +0,0.64,67171
Jan 25 2023 01: +0,0.646,68536
Jan 26 2023 01: +0,0.663,70109
Jan 27 2023 01: +0,0.677,80589
Jan 28 2023 01: +0,0.688,84793
Jan 29 2023 01: +0,0.693,84904
Jan 30 2023 01: +0,0.694,70802
Jan 31 2023 01: +0,0.701,73738
Feb 01 2023 01: +0,0.706,73787
Feb 02 2023 01: +0,0.713,72991
Feb 03 2023 01: +0,0.726,77456
Feb 04 2023 01: +0,0.739,89310
Feb 05 2023 01: +0,0.729,84718
Feb 06 2023 01: +0,0.718,65422
Feb 07 2023 01: +0,0.709,67543
Feb 08 2023 01: +0,0.706,71197
Feb 09 2023 01: +0,0.7,69331
Feb 10 2023 01: +0,0.658,106365
Feb 11 2023 01: +0,0.613,109298
Feb 12 2023 01: +0,0.614,97902
Feb 13 2023 01: +0,0.632,89242
Feb 14 2023 01: +0,0.657,83075
Feb 15 2023 01: +0,0.672,82571
Feb 16 2023 01: +0,0.686,84776
Feb 17 2023 01: +0,0.697,91227
Feb 18 2023 01: +0,0.703,105548
Feb 19 2023 01: +0,0.679,97266
Feb 20 2023 01: +0,0.661,77973
Feb 21 2023 01: +0,0.646,76866
Feb 22 2023 01: +0,0.638,79842
Feb 23 2023 01: +0,0.654,84605
Feb 24 2023 01: +0,0.659,89122
Feb 25 2023 01: +0,0.675,100421
Feb 26 2023 01: +0,0.68,98630
Feb 27 2023 01: +0,0.679,83791
Feb 28 2023 01: +0,0.689,81463
Mar 01 2023 01: +0,0.705,80021
Mar 02 2023 01: +0,0.724,88569
Mar 03 2023 01: +0,0.732,94994
Mar 04 2023 01: +0,0.734,105287
Mar 05 2023 01: +0,0.729,103551
Mar 06 2023 01: +0,0.74,87224
Mar 07 2023 01: +0,0.754,94311
Mar 08 2023 01: +0,0.756,90840
Mar 09 2023 01: +0,0.774,86459
Mar 10 2023 01: +0,0.796,99661
Mar 11 2023 01: +0,0.816,105988
Mar 12 2023 01: +0,0.817,105719
Mar 13 2023 01: +0,0.823,87229
Mar 14 2023 01: +0,0.821,86380
Mar 15 2023 01: +0,0.836,85777
Mar 16 2023 01: +0,0.84,91363
Mar 17 2023 01: +0,0.864,110260
Mar 18 2023 01: +0,0.857,108001
Mar 19 2023 01: +0,0.839,107021
Mar 20 2023 01: +0,0.809,94946
Mar 21 2023 01: +0,0.805,89080
Mar 22 2023 01: +0,0.808,104057
Mar 23 2023 01: +0,0.941,147165
Mar 24 2023 01: +0,1.056,130886
Mar 25 2023 01: +0,1.226,116991
Mar 26 2023 01: +0,1.32,143140
Mar 27 2023 01: +0,1.615,123292
Mar 28 2023 01: +0,1.431,121237
Mar 29 2023 01: +0,1.357,118187
Mar 30 2023 01: +0,1.402,101276
Mar 31 2023 01: +0,1.612,115391
Apr 01 2023 01: +0,1.688,124511
Apr 02 2023 01: +0,1.612,118526
Apr 03 2023 01: +0,1.559,115407
Apr 04 2023 01: +0,1.557,102056
Apr 05 2023 01: +0,1.604,112388
Apr 06 2023 01: +0,1.66,113327
Apr 07 2023 01: +0,1.785,115855
Apr 08 2023 01: +0,1.845,105499
Apr 09 2023 01: +0,1.754,116634
Apr 10 2023 01: +0,1.703,113583
Apr 11 2023 01: +0,1.672,106551
Apr 12 2023 01: +0,1.692,105656
Apr 13 2023 01: +0,1.752,104876
Apr 14 2023 01: +0,1.866,115242
Apr 15 2023 01: +0,2.023,96259
Apr 16 2023 01: +0,2.25,96305
Apr 17 2023 01: +0,2.272,111229
Apr 18 2023 01: +0,2.313,95248
Apr 19 2023 01: +0,2.208,88041
Apr 20 2023 01: +0,1.953,121898
Apr 21 2023 01: +0,1.923,118964
Apr 22 2023 01: +0,1.826,125704
Apr 23 2023 01: +0,1.639,125653
Apr 24 2023 01: +0,1.674,125666
Apr 25 2023 01: +0,1.553,141586
Apr 26 2023 01: +0,1.431,117651
Apr 27 2023 01: +0,1.505,119701
Apr 28 2023 01: +0,1.658,123876
Apr 29 2023 01: +0,1.729,127128
Apr 30 2023 01: +0,1.704,120030
May 01 2023 01: +0,1.621,108624
May 02 2023 01: +0,1.56,101919
May 03 2023 01: +0,1.551,105404
May 04 2023 01: +0,1.592,104195
May 05 2023 01: +0,1.457,139611
May 06 2023 01: +0,1.457,123335
May 07 2023 01: +0,1.389,127262
May 08 2023 01: +0,1.315,114849
May 09 2023 01: +0,1.306,106326
May 10 2023 01: +0,1.37,104619
May 11 2023 01: +0,1.43,109729
May 12 2023 01: +0,1.469,122349
May 13 2023 01: +0,1.516,123942
May 14 2023 01: +0,1.473,110570
May 15 2023 01: +0,1.482,101399
May 16 2023 01: +0,1.469,98544
May 17 2023 01: +0,1.46,104787
May 18 2023 01: +0,1.447,101373
May 19 2023 01: +0,1.431,110275
May 20 2023 01: +0,1.421,111320
May 21 2023 01: +0,1.38,113004
May 22 2023 01: +0,1.362,99859
May 23 2023 01: +0,1.34,99227
May 24 2023 01: +0,1.337,103352
May 25 2023 01: +0,1.383,109156
May 26 2023 01: +0,1.431,121334
May 27 2023 01: +0,1.463,115130
May 28 2023 01: +0,1.456,110131
May 29 2023 01: +0,1.469,101779
May 30 2023 01: +0,1.453,91614
May 31 2023 01: +0,1.482,105657
Jun 01 2023 01: +0,1.519,111234
Jun 02 2023 01: +0,1.546,106319
Jun 03 2023 01: +0,1.531,106254
Jun 04 2023 01: +0,1.508,102321
Jun 05 2023 01: +0,1.511,94266
Jun 06 2023 01: +0,1.505,96380
Jun 07 2023 01: +0,1.522,103809
Jun 08 2023 01: +0,1.53,99646
Jun 09 2023 01: +0,1.553,102091
Jun 10 2023 01: +0,1.678,123572
Jun 11 2023 01: +0,1.691,87223
Jun 12 2023 01: +0,1.777,91807
Jun 13 2023 01: +0,1.823,67220
Jun 14 2023 01: +0,1.688,99402
Jun 15 2023 01: +0,1.599,94335
Jun 16 2023 01: +0,1.644,84637
Jun 17 2023 01: +0,1.673,80505
Jun 18 2023 01: +0,1.686,75420
Jun 19 2023 01: +0,1.684,65523
Jun 20 2023 01: +0,1.646,63933
Jun 21 2023 01: +0,1.522,98483
Jun 22 2023 01: +0,1.446,86542
Jun 23 2023 01: +0,1.42,99303
Jun 24 2023 01: +0,1.439,89868
Jun 25 2023 01: +0,1.487,77634
Jun 26 2023 01: +0,1.509,67545
Jun 27 2023 01: +0,1.527,65799
Jun 28 2023 01: +0,1.414,103578
Jun 29 2023 01: +0,1.331,100062
Jun 30 2023 01: +0,1.269,94679
Jul 01 2023 01: +0,1.28,86587
Jul 02 2023 01: +0,1.266,77775
Jul 03 2023 01: +0,1.28,72915
Jul 04 2023 01: +0,1.303,74545
Jul 05 2023 01: +0,1.228,107113
Jul 06 2023 01: +0,1.171,93861
Jul 07 2023 01: +0,1.224,94132
Jul 08 2023 01: +0,1.278,81032
Jul 09 2023 01: +0,1.279,77956
Jul 10 2023 01: +0,1.295,68942
Jul 11 2023 01: +0,1.322,66619
Jul 12 2023 01: +0,1.246,103720
Jul 13 2023 01: +0,1.243,94314
Jul 14 2023 01: +0,1.335,83732
Jul 15 2023 01: +0,1.417,87106
Jul 16 2023 01: +0,1.452,84340
Jul 17 2023 01: +0,1.481,70093
Jul 18 2023 01: +0,1.499,70006
Jul 19 2023 01: +0,1.372,105288
Jul 20 2023 01: +0,1.327,87142
Jul 21 2023 01: +0,1.387,82380
Jul 22 2023 01: +0,1.457,84795
Jul 23 2023 01: +0,1.472,78377
Jul 24 2023 01: +0,1.482,73231
Jul 25 2023 01: +0,1.476,73132
Jul 26 2023 01: +0,1.337,103786
Jul 27 2023 01: +0,1.346,92639
Jul 28 2023 01: +0,1.406,93487
Jul 29 2023 01: +0,1.437,87762
Jul 30 2023 01: +0,1.417,80909
Jul 31 2023 01: +0,1.439,76516
Aug 01 2023 01: +0,1.442,70578
Aug 02 2023 01: +0,1.327,103199
Aug 03 2023 01: +0,1.316,90992
Aug 04 2023 01: +0,1.347,89534
Aug 05 2023 01: +0,1.365,88862
Aug 06 2023 01: +0,1.361,84389
Aug 07 2023 01: +0,1.356,73816
Aug 08 2023 01: +0,1.351,72292
Aug 09 2023 01: +0,1.257,106743
Aug 10 2023 01: +0,1.224,91058
Aug 11 2023 01: +0,1.256,94318
Aug 12 2023 01: +0,1.283,83066
Aug 13 2023 01: +0,1.287,81349
Aug 14 2023 01: +0,1.295,71690
Aug 15 2023 01: +0,1.312,78151
Aug 16 2023 01: +0,1.191,114139
Aug 17 2023 01: +0,1.192,94009
Aug 18 2023 01: +0,1.229,82627
Aug 19 2023 01: +0,1.249,85490
Aug 20 2023 01: +0,1.245,81454
Aug 21 2023 01: +0,1.224,63583
Aug 22 2023 01: +0,1.218,66571
Aug 23 2023 01: +0,1.114,110077
Aug 24 2023 01: +0,1.105,94942
Aug 25 2023 01: +0,1.168,89521
Aug 26 2023 01: +0,1.201,87709
Aug 27 2023 01: +0,1.211,76374
Aug 28 2023 01: +0,1.209,65303
Aug 29 2023 01: +0,1.215,69520
Aug 30 2023 01: +0,1.107,111766
Aug 31 2023 01: +0,1.093,97776
Sep 01 2023 01: +0,1.144,101268
Sep 02 2023 01: +0,1.135,104888
Sep 03 2023 01: +0,1.154,94410
Sep 04 2023 01: +0,1.145,87605
Sep 05 2023 01: +0,1.169,73453
Sep 06 2023 01: +0,1.087,118542
Sep 07 2023 01: +0,1.062,111020
Sep 08 2023 01: +0,1.113,104587
Sep 09 2023 01: +0,1.142,101796
Sep 10 2023 01: +0,1.131,90361
Sep 11 2023 01: +0,1.16,75341
Sep 12 2023 01: +0,1.199,71995
Sep 13 2023 01: +0,1.111,119855
Sep 14 2023 01: +0,1.11,102761
Sep 15 2023 01: +0,1.145,101593
Sep 16 2023 01: +0,1.174,107343
Sep 17 2023 01: +0,1.186,96056
Sep 18 2023 01: +0,1.211,72491
Sep 19 2023 01: +0,1.234,71324
Sep 20 2023 01: +0,1.148,112419
Sep 21 2023 01: +0,1.156,91766
Sep 22 2023 01: +0,1.195,83909
Sep 23 2023 01: +0,1.21,86689
Sep 24 2023 01: +0,1.215,78204
Sep 25 2023 01: +0,1.237,62375
Sep 26 2023 01: +0,1.268,64218
Sep 27 2023 01: +0,1.233,180782
Sep 28 2023 01: +0,1.41,235799
Sep 29 2023 01: +0,1.471,187213
Sep 30 2023 01: +0,1.517,188662
Oct 01 2023 01: +0,1.579,174553
Oct 02 2023 01: +0,1.69,133520
Oct 03 2023 01: +0,1.774,124289
Oct 04 2023 01: +0,1.573,166430
Oct 05 2023 01: +0,1.537,143059
Oct 06 2023 01: +0,1.612,146714
Oct 07 2023 01: +0,1.689,144839
Oct 08 2023 01: +0,1.71,123331
Oct 09 2023 01: +0,1.719,106984
Oct 10 2023 01: +0,1.701,113800
Oct 11 2023 01: +0,1.584,152721
Oct 12 2023 01: +0,1.6,132966
Oct 13 2023 01: +0,1.661,135523
Oct 14 2023 01: +0,1.699,138788
Oct 15 2023 01: +0,1.713,122401
Oct 16 2023 01: +0,1.741,93335
Oct 17 2023 01: +0,1.752,87654
Oct 18 2023 01: +0,1.625,138078
Oct 19 2023 01: +0,1.606,114397
Oct 20 2023 01: +0,1.679,120359
Oct 21 2023 01: +0,1.688,111477
Oct 22 2023 01: +0,1.684,103193
Oct 23 2023 01: +0,1.701,79928
Oct 24 2023 01: +0,1.71,74439
Oct 25 2023 01: +0,1.588,127534
Oct 26 2023 01: +0,1.544,109670
Oct 27 2023 01: +0,1.566,108589
Oct 28 2023 01: +0,1.583,107730
Oct 29 2023 01: +0,1.578,93662
Oct 30 2023 01: +0,1.575,74817
Oct 31 2023 01: +0,1.594,80016
Nov 01 2023 01: +0,1.471,124635
Nov 02 2023 01: +0,1.419,105955
Nov 03 2023 01: +0,1.465,99938
Nov 04 2023 01: +0,1.502,98793
Nov 05 2023 01: +0,1.499,82991
Nov 06 2023 01: +0,1.517,70074
Nov 07 2023 01: +0,1.526,66719
Nov 08 2023 01: +0,1.424,107635
Nov 09 2023 01: +0,1.399,91063
Nov 10 2023 01: +0,1.431,92921
Nov 11 2023 01: +0,1.429,87084
Nov 12 2023 01: +0,1.419,75594
Nov 13 2023 01: +0,1.409,60333
Nov 14 2023 01: +0,1.372,61409
Nov 15 2023 01: +0,1.196,116986
Nov 16 2023 01: +0,1.121,101530
Nov 17 2023 01: +0,1.177,86260
Nov 18 2023 01: +0,1.231,88593
Nov 19 2023 01: +0,1.237,77741
Nov 20 2023 01: +0,1.237,58585
Nov 21 2023 01: +0,1.234,63101
Nov 22 2023 01: +0,1.126,139022
